Registration Number,Operator,Airframe Report Date,Airframe Hours,Airframe Landings,ATA and Code,Tracked By Equipment,Equipment Hours,Equipment Cycles,Equipment Landings,Equipment RIN,Item Type,Requirement Type,Disposition,Group,Description,Reference,Part Number,Serial Number,Work Order,Scheduled,Estimated Work Hours,Notes,Compliance Date,Compliance Hours,Compliance Landings,Compliance Cycles,Compliance RIN,Interval Days,Interval Months,Interval Hours,Interval Landings,Interval Cycles,Interval RIN,Tolerance Months,Tolerance Days,Tolerance Hours,Tolerance Landings,Tolerance Cycles,Tolerance RIN,Next Due Date,Max Next Due Date,Next Due Hours,Max Next Due Hours,Next Due Landings,Max Next Due Landings,Next Due Cycles,Max Next Due Cycles,Next Due RIN,Max Next Due RIN,Remaining Days,Max Remaining Days,Remaining Months,Max Remaining Months,Remaining Hours,Max Remaining Hours ,Remaining Landings,Max Remaining Landings,Remaining Cycles,Max Remaining Cycles,Remaining RIN,Max Remaining RIN,Is Optional,Next Due Status,Aircraft Grounded,Estimated Due Date,Months Since New,Months Since Overhaul,Months Since Repair,Hours Since New,Hours Since Overhaul,Hours Since Repair,Landings Since New,Landings Since Overhaul,Landings Since Repair,Tags,SalesForce Case Number
N407JM,CLASSIC AIR MEDICAL,02/26/2026,5659.50,0,,Airframe,5659.50,0.00,0,15876.00,DISCREPANCY,,,,Customer requests removal of TDFM-9000 for installation into another aircraft.,,,,HSU WO# 6846,"Monday, February 23, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,02/22/2026,,,,,,,,,,,
N307KH,CLASSIC AIR MEDICAL,02/25/2026,22896.40,0,,Airframe,22896.40,0.00,0,80539.00,DISCREPANCY,,,,L/H  TRANSFER/BOOST PUMP LOW PSI TROUBLESHOOTING REQUIRED,,,,2026-307KH-015,"Monday, February 23, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,02/23/2026,,,,,,,,,,,
N307KH,CLASSIC AIR MEDICAL,02/25/2026,22896.40,0,,Airframe,22896.40,0.00,0,80539.00,DISCREPANCY,,,,BALLJOINT CONNECTOR P/N 111B0027-3 WORN,,,,2026-307KH-015,"Monday, February 23, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,02/24/2026,,,,,,,,,,,
N307KH,CLASSIC AIR MEDICAL,02/25/2026,22896.40,0,,Airframe,22896.40,0.00,0,80539.00,DISCREPANCY,,,,HOSE ASSEMBLY P/N 70-079F000Y123 EXCESSIVELY DRY ROTTED.,,,,2026-307KH-015,"Monday, February 23, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,02/24/2026,,,,,,,,,,,
N307KH,CLASSIC AIR MEDICAL,02/25/2026,22896.40,0,,Airframe,22896.40,0.00,0,80539.00,DISCREPANCY,,,,COLLECTIVE COVER ASSEMBLY P/N 206-031-168-133 BETWEEN PILOT AND CO-PILOT SEATS HAS SEVERAL SMALL CRACKS,,,,2026-307KH-015,"Monday, February 23, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,02/25/2026,,,,,,,,,,,
N307KH,CLASSIC AIR MEDICAL,02/25/2026,22896.40,0,,Airframe,22896.40,0.00,0,80539.00,DISCREPANCY,,,,"FUEL CAP GASKET DAMAGED, DETERIORATING INTO TANK.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,02/25/2026,,,,,,,,,,,
N407FC,CLASSIC AIR MEDICAL,02/06/2026,14611.70,0,34 GARMIN,Airframe,14611.70,0.00,0,32298.00,INSPECTION,,,,28 DAY GPS NAVIGATION DATABASE UPDATE,,,,,,,,01/22/2026,14591.80,,,32255.00,28,0,,0,0.00,0.00,0,5,,0,0.00,0.00,02/19/2026,,,,,,,,,,-7,,0,,,,,,,,,,No,Past Due,,02/19/2026,,,,,,,,,,,
N407CN,CLASSIC AIR MEDICAL,02/02/2026,4850.80,0,34 GARMIN,Airframe,4850.80,0.00,0,11489.00,INSPECTION,,,,28 DAY GPS NAVIGATION DATABASE UPDATE,Garmin GTN650 and G500H Pilot User  Guide,,,,,,,01/20/2026,4842.20,,,11477.00,28,0,,0,0.00,0.00,0,5,,0,0.00,0.00,02/19/2026,,,,,,,,,,-7,,0,,,,,,,,,,No,Past Due,,02/19/2026,,,,,,,,,,,
N407JM,CLASSIC AIR MEDICAL,02/26/2026,5659.50,0,05 12MO- INSPECTION,Airframe,5659.50,0.00,0,15876.00,INSPECTION,,INSPECT,,12 MONTH AIRFRAME INSPECTION,"BHT-407-MPI, Chapter 5, Scheduled Inspections",,,HSU WO# 6846,"Monday, February 23, 2026",30.00,"Ref. BHT-407-MPI CH 5  DMC-407-A-05-40-00-11A-281A-A, 
Note When Last 300 Hour/12 Month Periodic Inspection was completed and Perform if Needed.
*** .8 months used on tolerance - adjustments made to next due time***",01/10/2025,5317.00,,,14797.00,,12,,,,,,36,,,,,01/31/2026,,,,,,,,,,-26,,0,,,,,,,,,,No,Within Tolerance,,01/31/2026,,,,,,,,,,Monthly Planning,
N407JM,CLASSIC AIR MEDICAL,02/26/2026,5659.50,0,05 600/12M,Airframe,5659.50,0.00,0,15876.00,INSPECTION,,INSPECT,,600 HOUR/12 MONTH AIRFRAME INSPECTION,"BHT-407-MPI, Chapter 5, Scheduled Inspections",,,HSU WO# 6846,"Monday, February 23, 2026",4.00,"REF. BHT-407-MPI, CH. 5 DMC-407-A-05-40-00-10A-281A-A
***3.3 hours and .8 months of tolerance used - next due time adjusted***",01/08/2025,5317.00,,,14797.00,,12,600.00,,,,,36,60.00,,,,01/31/2026,,5917.00,,,,,,,,-26,,0,,257.50,,,,,,,,No,Within Tolerance,,01/31/2026,,,,,,,,,,Monthly Planning,
